Fecha,Tipo Consulta,VENTAS,CANT_VENTAS
2023-04-01,Adultos,761000,15
2023-04-01,Infantil,1490000,37
2023-04-01,Teleconsulta,55000,1
2023-04-03,Adultos,3140000,55
2023-04-03,Infantil,2480000,43
2023-04-03,Teleconsulta,220000,4
2023-04-04,Adultos,4120000,70
2023-04-04,Infantil,2934000,55
2023-04-04,Teleconsulta,1000000,16
2023-04-05,Infantil,3093000,59
2023-04-05,Teleconsulta,700000,12
2023-04-05,Adultos,3793000,77
2023-04-06,Adultos,2895000,55
2023-04-06,Infantil,2956000,58
2023-04-06,Teleconsulta,541000,10
2023-04-10,Infantil,2617000,46
2023-04-10,Teleconsulta,1595000,25
2023-04-10,Adultos,3158000,53
2023-04-11,Adultos,3805000,67
2023-04-11,Infantil,3003000,56
2023-04-11,Teleconsulta,2340000,36
2023-04-12,Adultos,3876000,74
2023-04-12,Infantil,3014000,58
2023-04-12,Teleconsulta,1096000,19
2023-04-13,Adultos,2511000,51
2023-04-13,Infantil,3637000,63
2023-04-13,Teleconsulta,1392000,24
2023-04-14,Adultos,2950000,50
2023-04-14,Infantil,3602000,68
2023-04-14,Teleconsulta,780000,14
2023-04-15,Teleconsulta,555000,9
2023-04-15,Adultos,944000,19
2023-04-15,Infantil,1124000,28
2023-04-16,Teleconsulta,75000,1
2023-04-17,Adultos,3739000,61
2023-04-17,Infantil,3388000,57
2023-04-17,Teleconsulta,1180000,18
2023-04-18,Teleconsulta,1895000,31
2023-04-18,Adultos,3670000,62
2023-04-18,Infantil,4117000,73
2023-04-19,Infantil,3959000,72
2023-04-19,Teleconsulta,876000,15
2023-04-19,Adultos,4131000,77
2023-04-20,Adultos,2683000,50
2023-04-20,Infantil,3017000,55
2023-04-20,Teleconsulta,1815000,27
2023-04-21,Infantil,4217000,64
2023-04-21,Teleconsulta,1010000,16
2023-04-21,Adultos,3095000,53
2023-04-22,Infantil,1562000,38
2023-04-22,Teleconsulta,780000,14
2023-04-22,Adultos,940000,18
2023-04-24,Adultos,4022000,65
2023-04-24,Infantil,3483000,60
2023-04-24,Teleconsulta,1420000,22
2023-04-25,Adultos,4035000,71
2023-04-25,Infantil,3415000,63
2023-04-25,Teleconsulta,2165000,35
2023-04-26,Adultos,4386000,80
2023-04-26,Teleconsulta,1096000,19
2023-04-26,Infantil,3645000,68
2023-04-27,Teleconsulta,1285000,21
2023-04-27,Infantil,3546000,61
2023-04-27,Adultos,2450000,44
2023-04-28,Adultos,3360000,60
2023-04-28,Infantil,2552000,50
2023-04-28,Teleconsulta,880000,16
2023-04-29,Infantil,1289000,31
2023-04-29,Adultos,1295000,22
2023-04-29,Teleconsulta,525000,7
2023-05-02,Infantil,3837000,65
2023-05-02,Teleconsulta,2580000,38
2023-05-02,Adultos,4125000,69
2023-05-03,Infantil,3844000,69
2023-05-03,Teleconsulta,1625000,25
2023-05-03,Adultos,4485000,84
2023-05-04,Infantil,3935000,69
2023-05-04,Teleconsulta,2506000,35
2023-05-04,Adultos,3219000,63
2023-05-05,Infantil,3856500,74
2023-05-05,Teleconsulta,905000,17
2023-05-05,Adultos,3080000,56
2023-05-06,Infantil,1025000,25
2023-05-06,Teleconsulta,620000,10
2023-05-06,Adultos,725000,13
2023-05-08,Teleconsulta,1540000,24
2023-05-08,Adultos,3315000,56
2023-05-08,Infantil,4469000,72
2023-05-09,Infantil,4056000,72
2023-05-09,Teleconsulta,2070000,34
2023-05-09,Adultos,4255000,71
2023-05-10,Adultos,4250000,81
2023-05-10,Infantil,3772000,71
2023-05-10,Teleconsulta,1882000,30
2023-05-11,Infantil,3625000,67
2023-05-11,Teleconsulta,1345000,23
2023-05-11,Adultos,2360000,46
2023-05-12,Teleconsulta,1055000,19
2023-05-12,Adultos,2905000,55
2023-05-12,Infantil,3098000,59
2023-05-13,Teleconsulta,905000,17
2023-05-13,Adultos,1295000,22
2023-05-13,Infantil,1358000,33
2023-05-15,Teleconsulta,1786000,29
2023-05-15,Adultos,4435000,74
2023-05-15,Infantil,3378000,57
2023-05-16,Teleconsulta,2355000,39
2023-05-16,Infantil,4691000,80
2023-05-16,Adultos,3015000,51
2023-05-17,Infantil,3767000,67
2023-05-17,Adultos,3139000,63
2023-05-17,Teleconsulta,2177000,37
2023-05-18,Adultos,3464000,66
2023-05-18,Infantil,3835000,67
2023-05-18,Teleconsulta,1495000,25
2023-05-19,Adultos,3510000,64
2023-05-19,Infantil,3203000,61
2023-05-19,Teleconsulta,995000,17
2023-05-20,Adultos,1260000,22
2023-05-20,Teleconsulta,900000,16
2023-05-20,Infantil,1180000,28
2023-05-22,Adultos,3099000,53
2023-05-22,Infantil,3235000,51
2023-05-22,Teleconsulta,1645000,25
2023-05-23,Adultos,3780000,64
2023-05-23,Infantil,4053000,71
2023-05-23,Teleconsulta,1490000,26
2023-05-24,Teleconsulta,1600000,26
2023-05-24,Infantil,4217000,76
2023-05-24,Adultos,3568000,70
2023-05-25,Adultos,3567000,65
2023-05-25,Infantil,2800000,52
2023-05-25,Teleconsulta,1890000,30
2023-05-26,Adultos,3730000,65
2023-05-26,Infantil,3722000,69
2023-05-26,Teleconsulta,735000,13
2023-05-27,Teleconsulta,415000,9
2023-05-27,Adultos,1690000,29
2023-05-27,Infantil,1479000,36
2023-05-28,Teleconsulta,525000,7
2023-05-29,Adultos,4301000,71
2023-05-29,Infantil,3827000,63
2023-05-29,Teleconsulta,1400000,22
2023-05-30,Teleconsulta,2045000,33
2023-05-30,Adultos,4980000,82
2023-05-30,Infantil,3923000,52
2023-05-31,Infantil,4191000,73
2023-05-31,Teleconsulta,1701000,28
2023-05-31,Adultos,3904000,70
2023-06-01,Adultos,3260000,58
2023-06-01,Infantil,3680000,66
2023-06-01,Teleconsulta,2325000,39
2023-06-02,Infantil,3383000,64
2023-06-02,Teleconsulta,1110000,20
2023-06-02,Adultos,3335000,59
2023-06-03,Adultos,885000,16
2023-06-03,Teleconsulta,875000,15
